"","result.1","result.2","result.3","result.4","result.5","result.6","result.7","result.8","result.9","result.10","result.11","result.12","result.13","result.14","result.15","result.16","result.17","result.18","result.19","result.20","result.21","result.22","result.23","result.24","result.25","result.26","result.27","result.28","result.29","result.30","result.31","result.32","result.33","result.34","result.35","result.36","result.37","result.38","result.39","result.40","result.41","result.42","result.43","result.44","result.45","result.46","result.47","result.48","result.49","result.50","result.51","result.52","result.53","result.54","result.55","result.56","result.57","result.58","result.59","result.60","result.61","result.62","result.63","result.64","result.65","result.66","result.67","result.68","result.69","result.70","result.71","result.72","result.73","result.74","result.75","result.76","result.77","result.78","result.79","result.80","result.81","result.82","result.83","result.84","result.85","result.86","result.87","result.88","result.89","result.90","result.91","result.92","result.93","result.94","result.95","result.96","result.97","result.98","result.99","result.100"
"1",-81.1088893535922,-73.6666529936547,-93.1415586482646,-90.7570208521216,-66.6680186609902,-74.9260042043933,-69.8305855635729,-84.3633787491322,-75.2561156163658,-84.5272712137812,-88.9377493265721,-77.547340235325,-82.1454861605249,-56.8439450667842,-88.0165928384287,-83.9619583845726,-71.0950305561755,-80.7904578455313,-87.0296542471941,-82.3547261507299,-72.0961147293652,-71.5577743730261,-74.8275956429087,-92.5310675749341,-76.1040894878213,-72.1674389743995,-76.7463658270907,-74.0604721690447,-82.0233831819216,-78.2611503773588,-85.8077777674661,-74.0982261533779,-64.0225683458581,-74.8589426709042,-71.3895008522852,-66.3003639270497,-58.605068344229,-70.2373796842987,-88.65280130763,-89.2625050730359,-70.7488141102938,-69.920109878342,-84.3875002491853,-67.525595791081,-93.5883283373239,-74.5680950145435,-71.999407048961,-70.5031956241157,-81.1400806818444,-82.52994711297,-77.5369359518836,-78.6376363112282,-80.7007128850089,-61.9879481068993,-81.7412525908507,-76.870081296447,-72.2452343048259,-63.8039709412297,-68.9599012000327,-73.8959600696435,-59.7770922979392,-80.824726497384,-75.2997408708604,-78.4733502067665,-63.2163217038278,-67.1828212764273,-78.0444454859823,-62.9041689668787,-57.7360809406705,-72.77752387286,-78.3975258316487,-88.125716913081,-77.3229112633121,-77.5632147523041,-80.1887494840267,-69.4781218039612,-79.2896325999542,-84.2941329883879,-75.9051817045289,-62.233586010739,-80.3028528417316,-67.0500881361737,-84.0639180823235,-80.3323241894266,-90.6390205130387,-64.1451298295354,-75.4196253367858,-70.4594825133553,-88.0549864709905,-61.4684243742565,-86.5600619826981,-82.0924342488627,-92.0460289158655,-66.695524029661,-81.7952234771631,-74.7599013972985,-90.7045121257537,-80.2112373482029,-93.4797803814705,-65.0814519122052
"2",-80.3686994006899,-72.9264630407524,-92.4013686953623,-90.0168308992193,-65.9278287080879,-74.185814251491,-69.238433601251,-83.6231887962299,-74.5159256634635,-83.7870812608789,-88.1975593736697,-76.8071502824227,-81.4052962076226,-56.1037551138819,-87.2764028855264,-83.2217684316703,-70.3548406032732,-80.050267892629,-86.2894642942918,-81.6145361978276,-71.3559247764629,-70.8175844201238,-74.0874056900064,-91.7908776220318,-75.363899534919,-71.4272490214972,-76.0061758741884,-73.3202822161423,-81.2831932290193,-77.5209604244565,-85.0675878145638,-73.3580362004756,-63.3788191806076,-74.1187527180019,-70.6493108993829,-65.5601739741474,-57.8648783913267,-69.4971897313964,-87.9126113547277,-88.5223151201336,-70.0086241573915,-69.1799199254397,-83.647310296283,-66.7854058381787,-92.8481383844216,-73.8279050616412,-71.2592170960587,-69.7630056712134,-80.3998907289421,-81.7897571600677,-76.7967459989813,-77.8974463583259,-79.9605229321065,-61.247758153997,-81.0010626379484,-76.1298913435447,-71.5050443519236,-63.0637809883274,-68.2197112471304,-73.1557701167412,-59.0369023450369,-80.0845365444817,-74.5595509179581,-77.7331602538642,-62.4761317509255,-66.7216524011792,-77.3042555330799,-62.1639790139764,-56.9958909877682,-72.0373339199577,-77.6573358787464,-87.3855269601787,-76.5827213104097,-76.8230247994018,-79.4485595311244,-68.7379318510589,-78.5494426470519,-83.5539430354856,-75.1649917516266,-61.4933960578367,-79.5626628888293,-66.3098981832714,-83.3237281294212,-79.5921342365243,-89.8988305601364,-63.4049398766331,-74.6794353838835,-69.719292560453,-87.3147965180882,-60.7282344213542,-85.8198720297958,-81.3522442959604,-91.3058389629632,-65.9553340767587,-81.0550335242607,-74.0197114443962,-89.9643221728514,-79.4710473953006,-92.7395904285682,-64.3412619593029
"3",-80.1531263577611,-72.7108899978236,-92.1857956524335,-89.8012578562905,-65.7122556651591,-73.9702412085622,-69.065975166908,-83.4076157533011,-74.3003526205347,-83.5715082179501,-87.981986330741,-76.5915772394939,-81.1897231646938,-55.8881820709531,-87.0608298425976,-83.0061953887415,-70.1392675603444,-79.8346948497002,-86.0738912513631,-81.3989631548988,-71.1403517335341,-70.602011377195,-73.8718326470777,-91.575304579103,-75.1483264919902,-71.2116759785684,-75.7906028312596,-73.1047091732136,-81.0676201860906,-77.3053873815277,-84.8520147716351,-73.1424631575468,-63.1632461376788,-73.9031796750731,-70.4337378564541,-65.3969460282391,-57.6493053483979,-69.2816166884676,-87.6970383117989,-88.3067420772048,-69.7930511144627,-68.9643468825109,-83.4317372533542,-66.5698327952499,-92.6325653414928,-73.6123320187124,-71.0436440531299,-69.5474326282846,-80.1843176860133,-81.5741841171389,-76.5811729560525,-77.6818733153971,-79.7449498891778,-61.0321851110682,-80.7854895950196,-75.9143183006159,-71.2894713089948,-62.8482079453986,-68.0041382042016,-72.9401970738124,-58.8213293021081,-79.8689635015529,-74.3439778750293,-77.5175872109354,-62.2605587079967,-66.6785377925934,-77.0886824901512,-61.9484059710476,-56.7803179448394,-71.8217608770289,-77.4417628358176,-87.1699539172499,-76.3671482674809,-76.607451756473,-79.2329864881956,-68.5223588081302,-78.3338696041232,-83.3383699925568,-74.9494187086978,-61.2778230149079,-79.3470898459006,-66.0943251403426,-83.1081550864924,-79.3765611935955,-89.6832575172076,-63.1893668337043,-74.4638623409547,-69.5037195175242,-87.0992234751594,-60.5126613784254,-85.604298986867,-81.1366712530316,-91.0902659200344,-65.7397610338299,-80.839460481332,-73.8041384014674,-89.7487491299226,-79.2554743523718,-92.5240173856394,-64.1256889163741
"4",-79.8747697865565,-72.4325334266189,-91.9074390812289,-89.5229012850859,-65.4338990939545,-73.6918846373576,-68.8432899099443,-83.1292591820964,-74.02199604933,-83.2931516467454,-87.7036297595363,-76.3132206682892,-80.9113665934892,-55.6098254997485,-86.7824732713929,-82.7278388175369,-69.8609109891398,-79.5563382784955,-85.7955346801584,-81.1206065836942,-70.8619951623294,-70.3236548059903,-73.593476075873,-91.2969480078984,-74.8699699207855,-70.9333194073637,-75.512246260055,-72.8263526020089,-80.7892636148859,-77.027030810323,-84.5736582004304,-72.8641065863421,-62.8848895664742,-73.6248231038684,-70.1553812852494,-65.3412747139981,-57.3709487771932,-69.0032601172629,-87.4186817405943,-88.0283855060001,-69.5146945432581,-68.6859903113062,-83.1533806821496,-66.2914762240452,-92.3542087702882,-73.3339754475077,-70.7652874819253,-69.2690760570799,-79.9059611148087,-81.2958275459343,-76.3028163848478,-77.4035167441925,-79.4665933179731,-60.7538285398635,-80.5071330238149,-75.6359617294112,-71.0111147377901,-62.5698513741939,-67.725781632997,-72.6618405026077,-58.5429727309034,-79.5906069303482,-74.0656213038247,-77.2392306397307,-61.982202136792,-66.6228664783525,-76.8103259189465,-61.670049399843,-56.5019613736347,-71.5434043058242,-77.1634062646129,-86.8915973460452,-76.0887916962763,-76.3290951852683,-78.9546299169909,-68.2440022369255,-78.0555130329185,-83.0600134213522,-74.6710621374931,-60.9994664437032,-79.0687332746959,-65.8159685691379,-82.8297985152877,-79.0982046223909,-89.404900946003,-62.9110102624996,-74.1855057697501,-69.2253629463195,-86.8208669039547,-60.2343048072207,-85.3259424156624,-80.858314681827,-90.8119093488297,-65.4614044626252,-80.5611039101273,-73.5257818302627,-89.4703925587179,-78.9771177811672,-92.2456608144347,-63.8473323451695
"5",-78.4519703409329,-71.0097339809953,-90.4846396356053,-88.1001018394623,-64.0110996483309,-72.269085191734,-67.5956140649699,-81.7064597364729,-72.5991966037065,-81.8703522011219,-86.2808303139127,-74.8904212226656,-79.4885671478656,-54.1870260541249,-85.3596738257694,-81.3050393719133,-68.4381115435162,-78.1335388328719,-84.3727352345348,-79.6978071380706,-69.4391957167058,-68.9008553603668,-72.1706766302494,-89.8741485622748,-73.4471704751619,-69.5105199617402,-74.0894468144314,-71.4035531563853,-79.3664641692623,-75.6042313646995,-83.1508587548068,-71.4413071407185,-61.4620901208506,-72.2020236582448,-68.7325818396259,-65.0567148248734,-55.9481493315697,-67.5804606716393,-85.9958822949707,-86.6055860603766,-68.0918950976345,-67.2631908656827,-81.730581236526,-64.8686767784217,-90.9314093246646,-71.9111760018842,-69.3424880363017,-67.8462766114564,-78.4831616691851,-79.8730281003107,-74.8800169392242,-75.9807172985689,-78.0437938723495,-59.33102909424,-79.0843335781913,-74.2131622837877,-69.5883152921666,-61.1470519285704,-66.3029821873734,-71.2390410569842,-57.1201732852798,-78.1678074847247,-72.6428218582011,-75.8164311941071,-60.5594026911685,-65.9780784381759,-75.3875264733229,-60.2472499542194,-56.1583973688546,-70.1206048602006,-75.7406068189893,-85.4687979004216,-74.6659922506527,-74.9062957396447,-77.5318304713673,-66.8212027913019,-76.6327135872949,-81.6372139757286,-73.2482626918696,-59.5766669980796,-77.6459338290723,-64.3931691235144,-81.4069990696642,-77.6754051767673,-87.9821015003794,-61.488210816876,-72.7627063241265,-67.8025635006959,-85.3980674583312,-58.8115053615972,-83.9031429700388,-79.4355152362034,-89.3891099032061,-64.0386050170017,-79.1383044645037,-72.1029823846392,-88.0475931130944,-77.5543183355436,-90.8228613688111,-62.4245328995459
"6",-54.5969466828619,-48.8613804078297,-66.6296159775342,-64.2450781813912,-45.4776105937156,-48.5933241165733,-43.7405904068988,-57.8514360784018,-51.0946306893093,-58.0153285430508,-62.4258066558417,-51.0353975645946,-55.6335434897945,-33.6328850645297,-61.5046501676983,-57.4500157138422,-49.1527028917845,-55.9370611796526,-60.5177115764638,-55.8427834799996,-47.2362887399609,-45.0458317022957,-48.3156529721784,-66.0191249042037,-49.5921468170909,-51.1958115474704,-50.2344231563604,-47.5485294983143,-55.84602465263,-51.7492077066284,-59.2958350967358,-47.5862834826475,-39.5254830210984,-49.800085789811,-45.9455055235884,-43.9304715202311,-41.8351902070567,-45.5337260901122,-62.1408586368996,-62.7505624023055,-47.3829800432447,-44.6819659421994,-57.8755575784549,-43.262327142534,-67.0763856665936,-48.7395484740529,-48.1286277199139,-43.9912529533853,-55.44830960729,-56.0180044422396,-51.5573391158022,-52.1256936404979,-54.7691277809298,-40.6106533893075,-55.2293099201203,-50.3581386257166,-46.2706331891454,-39.0162289656946,-42.4479585293023,-47.7224290186555,-38.0131932976203,-54.3127838266536,-48.7877982001301,-53.1776924244011,-42.4309110664014,-47.6449035636469,-51.5325028152519,-40.621701785931,-40.401592107081,-52.9820998683692,-51.8855831609183,-61.6137742423506,-52.7682162157722,-52.6797954887231,-53.6768068132963,-45.7981394701775,-57.0278136446448,-57.7821903176576,-56.4634370427481,-39.1792421459702,-54.3829591226748,-42.840015611652,-57.5519754115931,-58.7899232028326,-67.083190229336,-38.9672630813112,-48.9076826660554,-45.3693141430078,-61.5430438002601,-44.1428042270378,-60.0481193119678,-55.5804915781323,-65.5340862451351,-41.7857104403127,-55.2832808064327,-49.2669055101903,-64.2770958761461,-53.6992946774725,-66.9678377107401,-41.2161279079537
"7",-43.8378117175703,-33.172756409889,-19.1931630732345,-0.981335621160735,-66.5799525932375,-16.2450344007683,-22.866750394272,-18.3250339289288,-22.3677408536821,-15.1028139391644,-10.7550905163527,-7.59858525460173,-19.5960165903815,-3.79340068605338,3.21004968520928,-11.6550747747244,-30.3517671913314,-15.368027773032,-14.3601821888211,89.2592426797399,-12.9204099904729,-23.0580210537439,-10.7218428074822,25.7643602814615,-16.6028436724975,-14.0462597264451,-37.3222020580459,-7.13543563974591,-13.5067048400181,-11.3528525538959,-3.18006138616679,-4.71385115236068,-17.1684800451284,-21.8114690660264,-16.3003835702986,2.28488183850083,-3.86581094760629,-3.42111268045549,-5.92593055171491,-9.95579660770455,-6.77581289346028,-21.3793539418842,-61.7130936128621,19.3315261854417,-112.235275981891,-31.6326506322546,-12.8665379862101,21.4885755888181,-9.0749556707567,-25.0075776354792,73.3504546704924,17.0603736820466,-27.6992318476034,-4.85614905317977,-26.3657780225596,-17.1729075140162,-21.8980292974747,-18.7435024179315,-18.3950357418576,-19.0684933592,-1797.90214730827,-17.5900640735012,-25.8744706305308,-31.5545636593016,-14.4256242796966,-17.5267881379155,-16.4305514027105,-7.38060385259191,50.5151815278348,-13.0311812424776,-9.48016517210017,9.98270750462005,-10.2881359874291,-797.11584604648,-22.1170473969669,-5.65160222875779,23.0471750908427,-21.7354842611752,80.7601456950148,-20.9720507892132,235.508648371448,-11.8652954462296,-20.0674601794534,-7.85003277308964,30.3943617580879,-12.9816962703194,-23.2783528543895,-49.0687202646467,-233.966137128745,-14.8314189727914,-96.6125424599512,-12.6618101703522,-29.0254945125527,-30.7466105298137,-10.4359007540607,-28.5389400433852,1370.6359447775,-16.5411622315946,-8.45230817458079,-18.1651341415674
"8",-38.5646740577578,-33.1406942570514,-19.1678857708239,-0.902546316314705,-65.6167927118427,-16.2156918046011,-22.749629856955,-18.3045064307848,-21.9316137546664,-14.4667101896521,-10.5998781309197,-7.4673599346542,-19.3971577807947,-3.59796013649614,3.66602252471256,-11.5250488291028,-30.3517671913314,-15.2911411894693,-14.2769811004838,90.1669649732593,-12.784577115978,-22.7761897905442,-10.7218428074822,26.012503876267,-16.5796363508608,-14.0021076144847,-37.3063541396783,-7.02785496438749,-13.4723877944638,-11.3407826929752,-3.01763166423478,-4.53442907928101,-17.1380943639039,-21.7323592691052,-16.2449074051186,3.26761569160504,-3.83070628883001,-3.39444622056781,-5.92593055171491,-9.7511495080624,-6.34299427212353,-21.2476352449726,-60.9709839094562,19.9930539323795,-110.829168739479,-31.6306014820832,-12.057076886442,21.7478319719742,-8.93504068042092,-21.7438671126817,74.3519042321657,17.0767013789094,-27.4707758861867,-4.50087217963248,-26.3657780225596,-16.9982087239251,-21.4787470622166,-18.7224124999613,-17.9865910125532,-18.7359145040713,-1777.02403757559,-17.5070063186601,-25.0930322690199,-31.1023775068473,-14.4256242796966,-17.5267881379155,-16.359062301738,-7.29775169869461,52.2299259542326,-12.8927325818157,-9.38793881125555,10.0519869281171,-9.79972716004383,-791.047292440052,-21.913256676697,-5.65160222875779,23.5468624281122,-20.6691172582302,81.5261810501483,-20.4971503982026,238.836724626684,-11.8563626693993,-19.8850780753446,-7.84943903268021,30.4684890161923,-12.954550606921,-21.4946864724806,-49.0687202646467,-231.654948847454,-14.7443698638798,-92.4956665269409,-12.5043077940385,-29.0228522597,-30.678707840152,-10.1142844147767,-27.1653726950897,1434.41247138459,-16.4868796073835,-8.44346446168237,-17.8123269826156
"9",-37.0289245833818,-33.1313564704158,-19.1646770875366,-0.849900678241896,-65.3362818704769,-16.2071460620948,-22.7155196525137,-18.2985279988685,-21.8045960270279,-14.2814512296202,-10.5546740504039,-7.429141851013,-19.3971577807947,-3.54103999888211,3.79882012905611,-11.4871800514364,-30.3517671913314,-15.2279059832805,-14.2769811004838,90.4313301624664,-12.7360613577334,-22.6941092073612,-10.7218428074822,26.0847732573978,-16.5760814181651,-13.9990968576558,-37.3017385893413,-6.99158168837053,-13.4623932925045,-11.3372674647069,-2.95770536412304,-4.47654969487104,-17.129244833135,-21.7093193189128,-16.2065895005464,3.55382725969255,-3.82048240226723,-3.39444622056781,-5.92593055171491,-9.73457827390355,-6.21694010606527,-21.2092734701437,-60.7548517580768,20.1857173815793,-110.419653836254,-31.6174337035811,-11.8213293033719,21.8779931535289,-8.8942918157548,-20.7933435262976,74.6435665662775,17.0814566600138,-27.4042403346236,-4.39740128488107,-26.3657780225596,-16.94732941973,-21.3566352354535,-18.7162702688028,-17.8676355027964,-18.615924833018,-1770.94349348278,-17.4828165645575,-24.8654460328225,-30.9812392508488,-14.4256242796966,-17.5267881379155,-16.33824180428,-7.29775169869461,52.7293284013941,-12.8524107712437,-9.3610787908411,10.0721638787458,-9.65748289328516,-789.279885895306,-21.851758941087,-5.65160222875779,23.692391449934,-20.3585483579063,81.7674756404975,-20.3588403306627,239.805994099509,-11.8537610860145,-19.8850780753446,-7.84926611162627,30.4788056975716,-12.9242458971934,-20.9752111837251,-49.0687202646467,-230.981837994455,-14.719017667165,-91.2966669069658,-12.4584367762041,-29.0220827295471,-30.6589318497106,-10.0206168195287,-26.7653347159485,1452.98675742321,-16.4662015820891,-8.44088881729159,-17.7095753679468
"10",-35.0459031809427,-33.1192991452733,-19.160533906804,-0.781922515927462,-64.9740750057989,-16.1961114561435,-22.6714751865528,-18.2908084074631,-21.6405856356204,-14.0422374197726,-10.4963047260862,-7.37979312644223,-19.3971577807947,-3.46754243108104,3.97029372940548,-11.4382823647696,-30.3517671913314,-15.1462541453003,-14.2769811004838,90.7726891126107,-12.6734158621237,-22.5881234617091,-10.7218428074822,26.1780903849076,-16.5714911462897,-13.9952092475158,-37.2957788053693,-6.97178315960647,-13.4494879901603,-11.3327284607828,-2.88032611856682,-4.40181350908031,-17.1178179635778,-21.6795692098586,-16.1423173866504,3.75869460587709,-3.80728090930997,-3.39444622056781,-5.92593055171491,-9.71318083079835,-6.05417390407019,-21.1587924896803,-60.4757732435849,20.4344921652309,-109.890871745644,-31.5966122111374,-11.516922555656,22.0460624988852,-8.84645969844176,-19.5659892951731,75.0201726862724,17.0875968699647,-27.3183269581424,-4.30307887454052,-26.3657780225596,-16.8816320186606,-21.1989595402946,-18.6922782674363,-17.7140353709249,-18.42773341716,-1763.09205073401,-17.4515817825142,-24.571577543977,-30.8248206693631,-14.4256242796966,-17.5267881379155,-16.3113575417374,-7.29775169869461,53.3741768989357,-12.8003456299666,-9.32639605368865,10.0982171677753,-9.47381138301407,-786.99773957944,-21.7723505949011,-5.65160222875779,23.8803043678699,-19.9575293202637,82.0790449067995,-20.1802488164343,241.057553772108,-11.8491823005782,-19.8850780753446,-7.84904282901632,30.4921270109228,-12.8834121962925,-20.3044438269211,-49.0687202646467,-230.112690226553,-14.6862818925331,-89.7484704415931,-12.3992062756341,-29.0210890813066,-30.633396296579,-9.89966945852299,-26.2487896103428,1476.97062156522,-16.4395012853264,-8.43756304180724,-17.5768983562186
